,Date_time,date_documented,Year,Month,Hour,Season,Country_Code,Country,Region,Locale,latitude,longitude,UFO_shape,length_of_encounter_seconds,Encounter_Duration,Description
49570,2009-06-16 12:00:00,8/5/2009,2009,6,12,Summer,USA,United States,California,Modesto,37.6391667,-120.9958333,Flash,180.0,one hour,Glowing different colors alien space craft.  ((NUFORC Note:  Possible sighting of &quot;twinkling&quot; stars?  PD))
49813,2012-06-17 19:00:00,6/20/2012,2012,6,19,Summer,USA,United States,Maryland,Baltimore,39.2902778,-76.6125,Sphere,600.0,10 minutes,Our alien ancestors are really starting to make there present felt.
50370,2001-06-20 01:00:00,6/3/2010,2001,6,1,Summer,USA,United States,Arizona,Tucson,32.2216667,-110.9258333,Unknown,15.0,15 sec,Flying creature in the sky&#44 with form of human dark skin. And moved in a floating motion.  ((NUFORC Note:  Serious report??  PD))
50497,2010-06-20 01:00:00,6/23/2010,2010,6,1,Summer,USA,United States,Illinois,Blue Island,41.6572222,-87.68,Circle,300.0,5 minutes,the alien craft was black and disk shaped and it traveled so fast it literally disappeared and appeared to great distances.
50583,1992-06-21 21:00:00,12/12/2009,1992,6,21,Summer,USA,United States,New York,Conesus,42.7188889,-77.6766667,Unknown,120.0,1-2 minutes,Eye contact with Creature
51026,2007-06-22 08:00:00,8/7/2007,2007,6,8,Summer,NZL,New Zealand,Auckland,Auckland,-36.84846,174.763332,Chevron,600.0,10 minutes,There were three alien craft in the sky over Auckland. 500 Lights On Object0: Yes
51686,2002-06-25 03:00:00,7/26/2002,2002,6,3,Summer,USA,United States,Minnesota,Waconia,44.8508333,-93.7866667,Light,30.0,30 sec,I saw an alien
51749,2007-06-25 23:00:00,8/7/2007,2007,6,23,Summer,USA,United States,California,San Juan Capistrano,33.5016667,-117.6616667,Disk,20.0,20 secs,((HOAX))  Gray Type A Alien form in metallic saucer with red glow and yellow beams.
51807,2012-06-25 00:00:00,7/4/2012,2012,6,0,Summer,USA,United States,Mississippi,Walls,34.9577778,-90.1516667,Triangle,2400.0,40 minutes,Light Signals to music. Ship. Creature.
52615,1957-06-30 03:30:00,7/3/2013,1957,6,3,Summer,USA,United States,Michigan,Birmingham,42.5466667,-83.2113889,Unknown,300.0,5 minutes,Grey alien drills into my back when I was a child in the 1950&#39s
52648,1963-06-30 21:00:00,10/8/2007,1963,6,21,Summer,GBR,United Kingdom,England,Allesley,52.416667,-1.55,Circle,15.0,15 seconds,Very close encounter which has changed my views on alien life forever.
52812,1982-06-30 03:00:00,10/30/2006,1982,6,3,Summer,GBR,United Kingdom,England,Beeby,52.664913,-1.034894,,1200.0,15-20 min,Alien standing at the bottom of my bed.
52952,2000-06-30 15:00:00,6/3/2010,2000,6,15,Summer,USA,United States,Pennsylvania,Springboro,41.8005556,-80.3691667,Circle,1800.0,30 min,i saw a ufo land and aliens come out
53045,2004-06-30 17:55:00,8/11/2004,2004,6,17,Summer,USA,United States,Nevada,Las Vegas,36.175,-115.1363889,Circle,5.0,3-5 second,An alien space or an u.f.o that is not an alien space craft.
